cell,,animal,layer,type,vm,ir_neg,ir_pos,tm_on,tm_neg_off,tm_pos_on,tm_pos_off,sag,ap_thresh,ap_max,ap_halfwidth,rheobase,ahp_max,res_freq,res_mag,morphology_confirmed,dv,dist_psub,expression,response,epsp_tval,epsp_pval,epsp_sig,ipsp_tval,ipsp_pval,ipsp_sig,response_type,biphasic,subthreshold,baseline_vm,epsp,epsp_sd,epsp_pk,epsp_pk_sd,epsp_latency,epsp_latency_sd,epsp_halfwidth,ipsp,ipsp_sd,ipsp_pk,ipsp_pk_sd,ipsp_latency,ipsp_halfwidth,ei,ei_pk,interneuron_type
573_S1C1_D,,573,l1,l1_in,-73.1779,105.001,187.497,6.93411,7.56743,14.4465,9.33178,0.932755,-26.7819,14.4088,0.6,185,-46.3781,3,1.0797,Y,3.6,151.727,Y,Y,36.4,0,Y,NA,NA,NA,epsp,N,Y,-51.072346,10.3116614,2.025119289,11.0210904,2.1469857,3.98646,0.537503003,26.502358,NA,NA,-0.661794619,0.453787434,NA,NA,1,0.943353494,NA
578_S1C1_D,,578,l1,l1_in,-75.6463,99.8274,138.119,4.65915,2.93956,6.65071,4.6879,0.946209,-33.5669,19.9863,0.67,230,-54.7188,1.75,1.352,Y,3.6,153.498,Y,Y,22.1,0,Y,NA,NA,NA,ap,N,N,-73.43105,8.5998268,2.800247142,8.8254916,2.824684079,3.422895833,0.318937948,9.605109792,NA,NA,-0.48957556,0.158639939,NA,NA,1,0.947442616,NA
675_S1C1,,675,l1,l1_in,-65.8722,212.579,242.538,6.86752,7.87781,5.35585,8.30377,0.926714,-33.6319,33.8819,0.5,136.25,-62.6187,1.5833,1.0344,Y,3.6,50.329,Y,Y,10.54,0,Y,NA,NA,NA,ap,N,N,-53.07627241,3.376420517,1.905839684,4.019374828,2.053377512,4.174142857,0.68590474,12.85819179,NA,NA,-0.8946136,0.271908589,NA,NA,1,0.817945522,NA
676_S1C2,,676,l1,l1_in,-73.1517,129.2,181.783,7.17835,9.61624,13.4412,11.3195,0.934569,-32.8856,21.1313,0.76,381.25,-49.8906,3.0833,1.1514,Y,3.28,1733.725,Axonal ,Y,28.3,0,Y,NA,NA,NA,epsp,N,Y,-70.83479667,7.419887667,1.602354971,7.672911,1.482864887,2.395233333,0.187247703,21.21300333,NA,NA,-0.36021328,0.266214347,NA,NA,1,0.955159006,NA
676_S1C1,,676,l1,l1_in,-63.7225,176.273,200.382,7.28901,12.617,7.91993,9.94411,0.906194,-30.7587,17.2338,0.92,153.125,-52.7063,1.0833,1.1188,Y,3.28,1890.897,Axonal ,Y,23.3,0,Y,NA,NA,NA,epsp,N,Y,-63.24067,13.94922,2.762638474,14.216155,2.723850147,2.2433,0.173672438,17.000885,NA,NA,-1.17682601,0.582456192,NA,NA,1,0.923547881,NA
737_S3C2,,737,l1,l1_in,-67.5486,208.502,280.816,6.65904,6.77186,15.1317,10.7731,0.918949,-28.1825,36.8238,0.48,130,-50.8438,3.9167,1.2493,Y,4.12,178.445,Y,Y,40.1,0,Y,NA,NA,NA,ap,N,N,-56.26974,17.91882667,2.57355416,18.29807,2.498043592,3.226833333,0.546981629,11.89597933,NA,NA,-0.885259,0.215231308,NA,NA,1,0.953852692,NA
745_S1C1,,745,l1,l1_in,-69.714,141.591,154.658,6.882,6.2182,7.42856,10.0592,0.894356,-29.845,39.6581,0.44,172.5,-53.4344,1.25,1.0784,Y,3.44,607.4,Y,Y,25.2,0,Y,NA,NA,NA,epsp,N,Y,-67.928072,9.2414576,2.805738211,9.5374438,2.775424732,2.24338,1.747782693,13.4819834,NA,NA,-0.57818074,0.117427283,NA,NA,1,0.942842803,NA
778_S2C2_J,,778,l1,l1_in,-64.7261,150.106,183.725,11.0935,9.5955,10.7717,11.6945,0.905959,-24.9588,13.3925,0.66,180,-52.2688,NA,NA,Y,2.8,44.322,Axonal ,Y,28.7,0,Y,NA,NA,NA,epsp,N,Y,-62.894988,16.304536,1.952488332,16.663454,2.007154021,2.50576,0.170754695,10.488716,NA,NA,-0.535484308,0.238687999,NA,NA,1,0.96886527,NA
840_S1C1_J,,840,l1,l1_in,-73.5806,126.767,130.997,5.15459,4.05743,4.64877,4.74982,0.939583,-45.1031,24.4906,0.53,182.5,-61.0594,NA,NA,Y,3.44,82.98,Axonal,Y,8.1,0,Y,NA,NA,NA,epsp,N,Y,-73.65675057,0.331023425,0.63231455,1.14790696,1.003345015,NA,NA,NA,NA,NA,-0.67778046,0.246523666,NA,NA,1,0.628753284,NA
842_S1C1_J,,842,l1,l1_in,-60.3702,323.727,373.487,13.2992,11.3246,9.69344,8.89176,0.89102,-30.1881,26.5944,1.45,70,-56.3594,1.0833,1.0142,N,NA,NA,NA,Y,12.9,0,Y,NA,NA,NA,epsp,N,Y,-61.6140575,1.9769902,1.280738694,2.387176575,1.182657513,7.320375,7.248153544,17.81657688,NA,NA,-0.70695315,0.345660569,NA,NA,1,0.771517935,NA
921_S2C1_J,,921,l1,l1_in,-76.2344,138.446,168.995,5.69144,4.78207,4.72113,4.83539,0.950065,-35.7825,19.995,0.6,190,-58.1156,NA,NA,Y,3.96,82.8,Y,Y,70.21,0,Y,NA,NA,NA,epsp,N,Y,-76.08799615,22.37288333,2.912737565,22.61476333,2.94166489,2.3139,0.12671781,16.54940333,NA,NA,-0.423047497,0.15545484,NA,NA,1,0.981636819,NA
n_950_S2C2_J,,950,l1,l1_in,-67.0726,322.338,-322.338,7.63474,9.2235,7.63474,9.2235,-30.9662,NA,NA,NA,NA,NA,NA,NA,Y,4.56,5.63,Y ,Y,-48.5,0,Y,NA,NA,NA,ap,N,N,-67.9167675,20.4440175,2.469396319,20.90474,2.594661246,4.3627,0.268169502,17.4331725,NA,NA,-0.52135572,0.234918371,NA,NA,1,0.975667255,NA
1306_S3C1,,1306,l1,l1_in,-74.0264,464.256,593.35,15.06,16.863,58.2429,52.0399,0.841024,-40.825,29.35,0.5,58.125,-63.375,1,1,Y,4.12,442.44,Y,Y,21.18,0,Y,NA,NA,NA,ap,N,N,-67.760688,15.1479424,3.574865601,15.6031864,3.510798881,5.472286455,2.202004182,16.43081818,NA,NA,-1.274312596,0.839744325,NA,NA,1,0.924496361,NA
